Language,Region
Amharic,Sub-Saharan Africa
Egyptian Arabic,MENA & Central Asia
Hausa,Sub-Saharan Africa
Levantine Arabic,MENA & Central Asia
Modern Standard Arabic,MENA & Central Asia
Sudanese Arabic,MENA & Central Asia
Vietnamese,East Asia & Pacific
Indonesian,East Asia & Pacific
Javanese,East Asia & Pacific
Tagalog,East Asia & Pacific
Kannada,South Asia
Tamil,South Asia
Telugu,South Asia
Bengali,South Asia
Bhojpuri,South Asia
English,Europe
French,Europe
Gujarati,South Asia
Hindi,South Asia
Persian,MENA & Central Asia
Italian,Europe
Marathi,South Asia
Portuguese,Europe
Russian,Europe
Spanish,Europe
German,Europe
Urdu,South Asia
Punjabi,South Asia
Japanese,East Asia & Pacific
Korean,East Asia & Pacific
Thai,East Asia & Pacific
Swahili,Sub-Saharan Africa
Mandarin,East Asia & Pacific
Wu,East Asia & Pacific
Yue,East Asia & Pacific
Turkish,MENA & Central Asia
Hungarian,Europe
Basque,Europe
Finnish,Europe
Estonian,Europe
Czech,Europe
Slovak,Europe
Hmong,East Asia & Pacific
Polish,Europe
Lingala,Sub-Saharan Africa
Igbo,Sub-Saharan Africa
Yoruba,Sub-Saharan Africa
Malay,East Asia & Pacific
Sundanese,East Asia & Pacific
Northern Uzbek,MENA & Central Asia
Algerian Arabic,MENA & Central Asia
Moroccan Arabic,MENA & Central Asia
Sindhi,South Asia
Saraiki,South Asia
Jin,East Asia & Pacific
Min Nan,East Asia & Pacific
Hakka,East Asia & Pacific
Xiang,East Asia & Pacific
Mongolian,East Asia & Pacific
Burmese,East Asia & Pacific
Odia,South Asia
Nepali,South Asia
Malayalam,South Asia
Ukrainian,Europe
Greek,Europe
